Popularity ,Breed,Group,Size,Price Bracket,Price low,Price high,Lifetime Cost,Lifespan,Genetic Ailments,Grooming Score,Intelligence Category,Trainability,Training Repetitions,Odedience,Children Score
139,Affenpinscher,toy,small,budget,200,800,"18,333",11.42,0,2,Above average,37,15 to 25,70,2
88,Afghan Hound,hound,large,mid-price,450,1000,"24,077",11.92,0,1,Lowest,80,80 to 100,<25,1
55,Airedale Terrier,terrier,medium,mid-price,475,1200,,11.45,1,-,Above average,29,15 to 25,70,-
47,Akita,working,large,mid-price,565,1800,"20,994",10.16,1,2,Average,54,25 to 40,50,3
58,Alaskan Malamute,working,large,mid-price,550,2350,"21,986",10.67,2,1,Average,50,25 to 40,50,2
33,American English Coonhound,hound,large,budget,100,350,,11.5,,-,,,,,-
116,American Eskimo Dog,non-sporting,small,budget,300,950,,,0,-,,,,,-
173,American Foxhound,hound,medium,mid-price,250,1000,,,,-,Average,46,25 to 40,50,-
72,American Staffordshire Terrier,terrier,medium,mid-price,250,1500,,,1,-,Above average,34,15 to 25,70,-
157,American Water Spaniel,sporting,medium,mid-price,600,1250,,,0,-,Average,44,25 to 40,50,-
111,Anatolian Shepherd Dog,working,large,,,,,10.75,,2,,,,,2
60,Australian Cattle Dog,herding,medium,budget,250,1000,"20,395",11.67,1,2,Brightest,10,less than 5,95,3
24,Australian Shepherd,herding,medium,budget,250,1000,"21,458",12.28,2,2,Average,42,25 to 40,50,2
121,Australian Terrier,terrier,small,budget,200,900,"17,892",11.05,0,2,Above average,34,15 to 25,70,2
93,Basenji,hound,medium,mid-price,600,1200,"22,096",13.58,3,2,Lowest,79,80 to 100,<25,2
41,Basset Hound,hound,small,budget,150,1000,"18,328",11.43,2,2,Lowest,71,80 to 100,<25,1
3,Beagle,hound,small,budget,100,600,"19,468",12.3,1,1,Lowest,73,80 to 100,<25,1
112,Bearded Collie,herding,medium,,,,,12.77,0,1,Above average,34,15 to 25,70,1
144,Beauceron,herding,large,mid-price,950,"1,000",,,,-,,,,,-
134,Bedlington Terrier,terrier,small,mid-price,250,1800,"22,107",13.51,2,2,Average,40,25 to 40,50,2
74,Belgian Malinois,herding,large,mid-price,550,2000,,,0,2,Excellent,22,5 to 15,85,1
